category,total_orders,total_items,total_revenue,total_freight,freight_ratio,delivery_orders,late_orders,avg_delivery_delay_days,late_delivery_rate,reviewed_orders,avg_review_score,negative_reviews,negative_review_rate,reliable_review_volume,category_segment
agro_industry_and_commerce,182,212,72530.47,5843.6,0.0805675187269571,177.0,9.0,-10.564726145637163,5.084745762711865,182.0,4.021978021978022,27.0,14.835164835164836,True,Lower Revenue + Lower Experience
air_conditioning,253,297,55024.96,6749.23,0.1226576084744087,246.0,10.0,-13.236773938572718,4.0650406504065035,249.0,4.028112449799197,41.0,16.46586345381526,True,Lower Revenue + Lower Experience
art,202,209,24202.64,4045.17,0.16713755193648297,195.0,15.0,-12.191792616334283,7.6923076923076925,200.0,4.025,32.0,16.0,True,Lower Revenue + Lower Experience
arts_and_craftmanship,23,24,1814.01,370.13,0.2040396690205677,23.0,2.0,-5.947493458132045,8.695652173913043,23.0,4.173913043478261,3.0,13.043478260869565,False,Insufficient Review Volume
audio,350,364,50688.5,5710.44,0.11265750614044605,348.0,45.0,-9.363717605896126,12.931034482758621,347.0,3.8275862068965516,77.0,22.19020172910663,True,Lower Revenue + Lower Experience
auto,3897,4235,592720.11,92664.21,0.15633721285414123,3809.0,328.0,-10.509993187431327,8.611184037805199,3877.0,4.090629011553274,564.0,14.547330410110911,True,High Revenue + Lower Experience
baby,2885,3065,411764.89,68353.11,0.16600033577413556,2809.0,258.0,-10.794723507772636,9.184763260946955,2861.0,4.039735099337748,458.0,16.00838867528836,True,High Revenue + Lower Experience
bed_bath_table,9417,11115,1036988.68,204693.04,0.1973917786643534,9272.0,811.0,-10.693906195075577,8.74676445211389,9313.0,3.9686174724342664,1587.0,17.0406958015677,True,High Revenue + Lower Experience
books_general_interest,512,553,46856.88,9195.52,0.19624695455608657,495.0,34.0,-11.19180744949495,6.8686868686868685,508.0,4.46259842519685,42.0,8.267716535433072,True,Lower Revenue + High Experience
books_imported,53,60,4639.85,769.85,0.1659213121113829,50.0,2.0,-10.441372685185186,4.0,53.0,4.320754716981132,7.0,13.20754716981132,False,Insufficient Review Volume
books_technical,260,267,19096.06,4283.06,0.2242902462602233,256.0,28.0,-10.622882803457754,10.9375,257.0,4.405405405405405,26.0,10.116731517509727,True,Lower Revenue + High Experience
cds_dvds_musicals,12,14,730.0,224.98999999999998,0.3082054794520548,12.0,0.0,-15.076795910493829,0.0,12.0,4.666666666666667,0.0,0.0,False,Insufficient Review Volume
christmas_supplies,128,153,8800.82,3229.2999999999997,0.36693171772630273,125.0,12.0,-11.46123462962963,9.6,126.0,4.055555555555555,16.0,12.698412698412698,True,Lower Revenue + Lower Experience
cine_photo,65,72,6933.46,1256.2,0.18117938229974645,63.0,5.0,-9.953640689300412,7.936507936507936,65.0,4.242424242424242,9.0,13.846153846153847,False,Insufficient Review Volume
computers,181,203,222963.13,9836.3,0.04411626263050756,177.0,13.0,-10.853418079096045,7.344632768361582,178.0,4.174157303370786,23.0,12.921348314606742,True,High Revenue + High Experience
computers_accessories,6689,7827,911954.32,147318.08,0.16154107368009396,6529.0,503.0,-11.682958174852368,7.704089447082249,6649.0,4.02581319009251,1078.0,16.212964355542187,True,High Revenue + Lower Experience
consoles_games,1062,1137,157465.22,19828.02,0.12591999680945418,1018.0,83.0,-10.828964256803463,8.153241650294696,1052.0,4.064577397910731,150.0,14.258555133079847,True,High Revenue + Lower Experience
construction_tools_construction,748,929,144677.59,20650.41,0.1427339921822032,736.0,67.0,-10.378842686946458,9.103260869565217,743.0,4.081989247311828,108.0,14.535666218034994,True,High Revenue + Lower Experience
construction_tools_lights,244,304,41080.0,7583.8,0.18461051606621226,242.0,22.0,-10.77610039791858,9.090909090909092,241.0,4.128099173553719,27.0,11.20331950207469,True,Lower Revenue + High Experience
construction_tools_safety,167,194,40544.52,3919.1,0.09666164502625756,159.0,7.0,-12.217737668879572,4.40251572327044,166.0,3.8493975903614457,34.0,20.481927710843372,True,Lower Revenue + Lower Experience
cool_stuff,3632,3796,635290.85,84039.1,0.1322844489260313,3559.0,243.0,-11.732876907006753,6.8277606069120536,3599.0,4.169298974785259,452.0,12.559044178938594,True,High Revenue + High Experience
costruction_tools_garden,194,238,25715.89,5311.4,0.20654155854609738,190.0,13.0,-12.848935246101366,6.842105263157896,194.0,4.198979591836735,27.0,13.917525773195877,True,Lower Revenue + High Experience
costruction_tools_tools,97,103,15903.95,2030.22,0.1276550793985142,97.0,6.0,-11.513747016991218,6.185567010309279,94.0,4.425531914893617,8.0,8.51063829787234,False,Insufficient Review Volume
diapers_and_hygiene,27,39,1567.59,573.68,0.36596303880478953,25.0,1.0,-11.759077777777778,4.0,27.0,3.740740740740741,5.0,18.51851851851852,False,Insufficient Review Volume
drinks,297,379,22428.7,5741.25,0.2559778319742116,287.0,19.0,-10.257572428700477,6.620209059233449,296.0,4.164983164983165,36.0,12.162162162162163,True,Lower Revenue + High Experience
dvds_blu_ray,59,64,5999.39,1288.74,0.21481183920365235,56.0,4.0,-12.456376281415345,7.142857142857142,58.0,4.086206896551724,10.0,17.24137931034483,False,Insufficient Review Volume
electronics,2550,2767,160246.74,46578.32,0.29066625629950416,2517.0,247.0,-10.309545870488089,9.813269765593962,2531.0,4.095576619273301,356.0,14.065586724614775,True,High Revenue + Lower Experience
fashio_female_clothing,39,48,2803.64,621.75,0.2217652765690317,36.0,2.0,-11.26211869855967,5.555555555555555,39.0,3.731707317073171,9.0,23.076923076923077,False,Insufficient Review Volume
fashion_bags_accessories,1864,2031,152823.54,31450.0,0.20579290337077652,1821.0,121.0,-12.483625163981937,6.6447007138934655,1854.0,4.189304812834225,217.0,11.704422869471413,True,High Revenue + High Experience
fashion_childrens_clothes,8,8,569.85,95.51,0.16760551022198825,7.0,0.0,-14.994464285714287,0.0,8.0,4.5,1.0,12.5,False,Insufficient Review Volume
fashion_male_clothing,112,132,10797.82,2152.41,0.19933745885743603,106.0,5.0,-12.725209206848357,4.716981132075472,111.0,3.7027027027027026,29.0,26.126126126126124,True,Lower Revenue + Lower Experience
fashion_shoes,240,262,23562.77,4918.87,0.20875601637668237,235.0,15.0,-13.595900610717099,6.382978723404255,236.0,4.2133891213389125,30.0,12.711864406779661,True,Lower Revenue + High Experience
fashion_sport,27,30,2119.51,578.13,0.27276587513151623,26.0,2.0,-11.515592948717948,7.6923076923076925,27.0,4.285714285714286,3.0,11.11111111111111,False,Insufficient Review Volume
fashion_underwear_beach,121,131,9541.55,1916.19,0.2008258616262557,117.0,15.0,-9.781304210193099,12.82051282051282,120.0,3.933333333333333,22.0,18.333333333333332,True,Lower Revenue + Lower Experience
fixed_telephony,217,264,59583.0,4637.81,0.07783780608562846,212.0,11.0,-14.24392754192872,5.188679245283019,214.0,3.902325581395349,40.0,18.69158878504673,True,Lower Revenue + Lower Experience
flowers,29,33,1110.04,488.87,0.44040755288097727,29.0,1.0,-11.165110153256705,3.4482758620689653,28.0,4.392857142857143,2.0,7.142857142857142,False,Insufficient Review Volume
food,450,510,29393.41,7271.03,0.24736939334361,441.0,44.0,-9.12088981271521,9.977324263038549,445.0,4.276404494382023,51.0,11.46067415730337,True,Lower Revenue + High Experience
