city,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio,poor_review_signal,negative_review_signal,late_delivery_signal,freight_signal,hotspot_signals
rio de janeiro,6882,992538.86,161695.16,6604,780,-12.50499121078415,6797,3.90596341523221,1384.0,11.811023622047244,20.36192437840224,0.1629106592360525,True,True,True,False,3
campinas,1444,187844.53,24697.17,1406,143,-8.821431884186818,1427,4.09250175192712,198.0,10.170697012802275,13.875262789067976,0.1314766525274917,True,True,True,False,3
porto alegre,1379,190562.08,33502.01,1341,158,-11.09191526327782,1371,4.006564551422319,232.0,11.782252050708426,16.921954777534644,0.1758062779331544,True,True,True,False,3
salvador,1245,181104.42,35667.98,1188,208,-8.755085207787754,1219,3.717391304347826,276.0,17.50841750841751,22.641509433962263,0.1969470430373814,True,True,True,False,3
niteroi,849,117907.12,20012.26,825,103,-9.840030822109988,842,3.956057007125891,161.0,12.484848484848484,19.121140142517813,0.1697290206053714,True,True,True,False,3
goiania,692,106111.17,17949.36,660,76,-10.35611651234568,680,3.978676470588235,113.0,11.515151515151516,16.61764705882353,0.169156178374058,True,True,True,False,3
fortaleza,654,97868.06,20778.01,618,111,-8.995780257401414,648,3.811728395061728,142.0,17.96116504854369,21.91358024691358,0.2123063438674476,True,True,True,False,3
recife,613,89803.01,20220.51,593,79,-11.038627662232216,605,3.9322314049586775,117.0,13.322091062394604,19.33884297520661,0.2251651698534381,True,True,True,False,3
florianopolis,570,85925.99,13999.38,557,71,-9.21471528193364,564,4.015070921985815,96.0,12.74685816876122,17.02127659574468,0.1629236974750014,True,True,True,False,3
belem,447,80977.48,15684.14,431,42,-13.650560389275586,443,3.851015801354402,85.0,9.744779582366588,19.187358916478555,0.19368520729467,True,True,True,False,3
nova iguacu,442,60234.09,10589.66,423,57,-10.376576728176166,438,3.7899543378995433,104.0,13.47517730496454,23.74429223744292,0.1758084167952068,True,True,True,False,3
sao goncalo,409,52514.84,9092.69,385,96,-5.779189844877345,402,3.6529850746268657,105.0,24.935064935064936,26.119402985074625,0.1731451528748826,True,True,True,False,3
vitoria,380,53189.78,9532.64,374,43,-10.576565935086157,375,4.045333333333334,55.0,11.497326203208557,14.666666666666666,0.1792193913943618,True,True,True,False,3
sao luis,353,51026.91,12384.88,335,75,-7.933177687949143,350,3.692857142857143,80.0,22.388059701492537,22.857142857142858,0.2427127176621119,True,True,True,False,3
vila velha,334,48285.18,7897.46,326,50,-8.2516349267212,326,3.898773006134969,61.0,15.337423312883436,18.711656441717796,0.1635586736965669,True,True,True,False,3
praia grande,316,39671.02,5202.13,301,28,-7.745559362310816,314,4.130573248407643,41.0,9.30232558139535,13.05732484076433,0.1311317430204719,True,True,True,False,3
diadema,286,29393.24,4600.12,276,23,-8.91344471282877,285,3.975438596491228,43.0,8.333333333333332,15.087719298245611,0.1565026516301026,True,True,True,False,3
serra,285,36357.33,6608.44,278,43,-7.907671404543032,283,3.904593639575972,50.0,15.467625899280575,17.6678445229682,0.1817636223562071,True,True,True,False,3
teresina,281,49967.43,10536.92,271,60,-7.860006107352739,277,3.844765342960289,56.0,22.14022140221402,20.216606498194945,0.2108757644729777,True,True,True,False,3
duque de caxias,266,34029.68,5878.37,250,32,-9.441846759259258,262,3.7977099236641214,60.0,12.8,22.900763358778622,0.1727424413041791,True,True,True,False,3
joinville,264,34772.57,6199.5,257,24,-10.757765978527166,264,3.992424242424242,44.0,9.33852140077821,16.666666666666664,0.1782870808801305,True,True,True,False,3
joao pessoa,256,53164.81,9906.1,245,29,-11.3886462585034,252,4.027777777777778,40.0,11.83673469387755,15.873015873015872,0.1863281369763195,True,True,True,False,3
maceio,247,44702.48,8375.6,236,70,-5.828506208804143,245,3.636734693877551,68.0,29.66101694915254,27.755102040816325,0.1873632066945726,True,True,True,False,3
petropolis,240,33230.1,6348.83,234,30,-9.393488099477684,239,3.912133891213389,44.0,12.82051282051282,18.410041841004183,0.1910566022973148,True,True,True,False,3
macae,239,31337.8,6269.45,228,42,-7.639635568957114,235,3.608510638297872,61.0,18.421052631578945,25.957446808510635,0.2000603105514745,True,True,True,False,3
campos dos goytacazes,238,34660.36,5528.79,232,34,-10.17381410640166,236,3.961864406779661,41.0,14.6551724137931,17.372881355932204,0.1595133460818064,True,True,True,False,3
volta redonda,232,33354.0,5291.95,227,41,-7.32260233113069,229,3.882096069868996,46.0,18.06167400881057,20.087336244541483,0.1586601307189542,True,True,True,False,3
aracaju,225,36507.8,8091.0,213,29,-9.524329573117718,225,3.7466666666666666,52.0,13.615023474178404,23.11111111111111,0.2216238721588263,True,True,True,False,3
canoas,210,26785.25,5197.58,205,21,-11.890940379403792,210,3.947619047619048,37.0,10.24390243902439,17.61904761904762,0.1940463501367357,True,True,True,False,3
natal,207,35929.37,6921.63,203,22,-12.125200009122423,204,4.0245098039215685,38.0,10.83743842364532,18.62745098039216,0.192645459689385,True,True,True,False,3
sumare,183,21487.92,3130.86,177,22,-8.696390392864616,183,3.9234972677595623,35.0,12.429378531073446,19.12568306010929,0.1457032602504104,True,True,True,False,3
itaquaquecetuba,172,19365.24,2564.09,168,19,-8.323159653328924,168,3.940476190476191,28.0,11.30952380952381,16.666666666666664,0.1324068279040177,True,True,True,False,3
sao jose,169,20350.46,3996.97,167,26,-9.495092384675091,167,3.784431137724551,41.0,15.568862275449105,24.55089820359281,0.1964068625475787,True,True,True,False,3
nova friburgo,152,28024.89,3560.19,142,30,-5.21123850743349,151,3.6456953642384105,37.0,21.12676056338028,24.503311258278146,0.1270367162904118,True,True,True,False,3
hortolandia,145,16523.21,2225.36,142,30,-6.201209246218049,143,3.825174825174825,24.0,21.12676056338028,16.783216783216783,0.1346808519652053,True,True,True,False,3
cariacica,139,17574.58,3019.17,135,14,-10.252463563100138,136,4.066176470588236,19.0,10.37037037037037,13.970588235294118,0.1717918721243978,True,True,True,False,3
marica,139,15670.96,2889.57,133,21,-10.757053919521026,135,3.903703703703704,25.0,15.789473684210526,18.51851851851852,0.1843901075620128,True,True,True,False,3
rio das ostras,137,20268.71,3559.11,130,27,-6.924988871082621,136,3.625,37.0,20.76923076923077,27.20588235294117,0.1755962762307024,True,True,True,False,3
sao joao de meriti,134,18796.24,3204.87,124,27,-6.185875242682198,133,3.699248120300752,31.0,21.774193548387096,23.308270676691727,0.1705059096925767,True,True,True,False,3
pouso alegre,131,21372.21,2823.2,128,12,-12.62794044777199,129,4.077519379844961,20.0,9.375,15.503875968992247,0.1320967742690157,True,True,True,False,3
rio grande,125,16516.78,2933.71,121,15,-10.973392638506276,123,4.032520325203252,21.0,12.396694214876034,17.073170731707318,0.177619971931575,True,True,True,False,3
barra mansa,123,20086.96,2955.84,119,22,-8.85545489028945,122,3.844262295081968,25.0,18.487394957983195,20.49180327868853,0.1471521823113104,True,True,True,False,3
cachoeiro de itapemirim,122,15871.63,3299.79,121,13,-10.901376453933272,122,3.885245901639344,24.0,10.743801652892564,19.672131147540984,0.2079049221787554,True,True,True,False,3
pocos de caldas,122,17190.35,2825.68,116,10,-12.365353408365262,122,3.9672131147540974,25.0,8.620689655172415,20.49180327868853,0.1643759434799175,True,True,True,False,3
itajai,120,19348.57,2778.4,119,15,-9.851366129785248,116,4.051724137931035,16.0,12.605042016806722,13.79310344827586,0.1435971753984919,True,True,True,False,3
teresopolis,120,17115.29,3151.07,119,17,-9.261489262371615,120,3.941666666666667,22.0,14.285714285714285,18.33333333333333,0.1841084784423752,True,True,True,False,3
cabo frio,117,17182.670000000002,2895.55,113,27,-5.74231112749918,114,3.675438596491228,30.0,23.893805309734518,26.31578947368421,0.1685157196174983,True,True,True,False,3
resende,117,13545.25,2951.47,115,22,-7.95976559983897,115,3.843478260869565,20.0,19.130434782608692,17.391304347826086,0.2178970487809379,True,True,True,False,3
belford roxo,111,13932.95,2619.37,104,9,-13.122543068910256,109,3.651376146788991,27.0,8.653846153846153,24.770642201834864,0.1879982344011856,True,True,True,False,3
palmas,110,19742.48,4407.81,107,15,-11.246115978712355,109,4.036697247706422,16.0,14.018691588785046,14.678899082568808,0.2232652635332542,True,True,True,False,3
nilopolis,107,13718.18,2399.5,103,14,-9.937349424667383,103,3.932038834951456,22.0,13.592233009708735,21.35922330097087,0.1749138734146949,True,True,True,False,3
chapeco,103,15322.25,2428.5,101,15,-8.41469322973964,103,3.9029126213592233,18.0,14.85148514851485,17.475728155339805,0.1584949991026122,True,True,True,False,3
belo horizonte,2773,355611.13,61122.26,2697,166,-11.901479451619773,2754,4.108750907770515,375.0,6.154987022617724,13.616557734204791,0.1718794909484413,True,True,False,False,2
brasilia,2131,301920.25,50384.89,2071,147,-11.333708537877568,2119,4.067248702218027,314.0,7.098020280057943,14.818310523831997,0.1668814529664704,True,True,False,False,2
guarulhos,1189,144268.39,19307.43,1143,72,-9.944979778280029,1177,4.077740016992354,176.0,6.299212598425196,14.95327102803738,0.1338299401552897,True,True,False,False,2
