city,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
abadia dos dourados,3,358.9,54.599999999999994,3,0,-16.41460648148148,3,5.0,0.0,0.0,0.0,0.1521315129562552
abadiania,1,949.99,75.53,1,0,-15.299085648148148,1,4.0,0.0,0.0,0.0,0.0795061000642112
abaete,12,1732.81,214.0,12,1,-12.9080362654321,12,4.166666666666667,1.0,8.333333333333332,8.333333333333332,0.12349882560696211
abaetetuba,11,4028.57,643.7,11,3,-8.86311553030303,11,3.5454545454545454,3.0,27.27272727272727,27.27272727272727,0.15978374460416475
abaiara,2,262.9,69.25,2,1,3.062806712962963,2,4.5,0.0,50.0,0.0,0.26340813997717766
abaira,2,157.99,45.01,2,0,-12.395121527777778,2,5.0,0.0,0.0,0.0,0.284891448825875
abare,2,185.19,39.54,2,0,-10.182332175925927,2,2.0,1.0,0.0,50.0,0.21351044872833305
abatia,3,167.89,52.3,3,0,-7.539606481481481,3,2.6666666666666665,2.0,0.0,66.66666666666666,0.31151349097623443
abdon batista,1,125.4,31.3,1,0,-13.69462962962963,1,5.0,0.0,0.0,0.0,0.24960127591706538
abelardo luz,6,679.6999999999999,117.88,6,1,-4.833240740740741,6,2.5,3.0,16.666666666666664,50.0,0.1734294541709578
abrantes,2,678.0,83.36,1,0,-6.299398148148148,2,4.0,0.0,0.0,0.0,0.12294985250737463
abre campo,6,281.68,85.61000000000001,5,0,-15.276553240740743,6,3.8333333333333335,1.0,0.0,16.666666666666664,0.30392644135188873
abreu e lima,11,2376.95,494.97,11,0,-17.23237584175084,10,3.8,2.0,0.0,20.0,0.2082374471486569
acaiaca,2,164.9,43.0,2,0,-14.667731481481482,2,3.5,1.0,0.0,50.0,0.2607640994542147
acailandia,7,937.79,295.69,7,0,-17.274895833333336,7,3.4285714285714284,3.0,0.0,42.857142857142854,0.3153051322790817
acajutiba,1,28.89,22.06,1,0,-28.25528935185185,1,5.0,0.0,0.0,0.0,0.7635860159224644
acarau,8,1364.96,274.98,8,5,2.1447960069444445,7,3.5714285714285716,2.0,62.5,28.57142857142857,0.20145645293634978
acari,1,364.0,48.43,1,0,-39.26261574074074,1,5.0,0.0,0.0,0.0,0.13304945054945055
acegua,2,209.9,72.49000000000001,2,0,-11.233119212962963,2,5.0,0.0,0.0,0.0,0.3453549309194855
acopiara,7,647.67,254.0,7,0,-12.03104828042328,7,4.857142857142857,0.0,0.0,0.0,0.3921750274059321
acreuna,7,1070.43,236.01999999999998,7,0,-14.472918320105821,7,3.7142857142857144,1.0,0.0,14.285714285714285,0.22049083078762738
acu,3,613.08,136.51,2,0,-11.321793981481482,3,3.6666666666666665,1.0,0.0,33.33333333333333,0.22266262151758331
acucena,1,38.0,16.11,1,0,-17.636203703703703,1,1.0,1.0,0.0,100.0,0.42394736842105263
adamantina,36,5425.97,728.12,35,1,-10.901605489417989,36,3.9166666666666665,8.0,2.857142857142857,22.22222222222222,0.13419167448400932
adhemar de barros,1,139.0,27.29,1,1,73.01168981481482,1,1.0,1.0,100.0,100.0,0.19633093525179857
adolfo,5,373.8,67.78999999999999,5,0,-11.371986111111111,5,5.0,0.0,0.0,0.0,0.1813536650615302
adrianopolis,1,73.9,15.27,1,0,-13.406157407407408,1,5.0,0.0,0.0,0.0,0.20663058186738834
adustina,1,74.8,27.47,1,0,-12.068460648148148,1,5.0,0.0,0.0,0.0,0.36724598930481284
afogados da ingazeira,8,1345.98,250.41,8,0,-23.58054542824074,8,4.5,1.0,0.0,12.5,0.18604288325235144
afonso claudio,11,1568.77,199.15,11,0,-13.810156776094276,11,4.7272727272727275,0.0,0.0,0.0,0.12694658872874928
afranio,2,357.9,90.13999999999999,2,0,-9.253668981481482,2,4.0,0.0,0.0,0.0,0.25185806091086893
agisse,1,43.0,13.37,1,0,-7.190671296296296,1,5.0,0.0,0.0,0.0,0.3109302325581395
agrestina,1,1989.0,77.34,1,0,-20.364710648148147,1,4.0,0.0,0.0,0.0,0.03888386123680242
agrolandia,1,49.9,11.01,1,0,-27.23415509259259,1,4.0,0.0,0.0,0.0,0.22064128256513027
agronomica,2,204.87,76.63,2,0,-9.303854166666667,2,4.0,0.0,0.0,0.0,0.37404207546248835
agua boa,18,2758.87,577.95,18,0,-16.151579218106995,18,4.333333333333333,1.0,0.0,5.555555555555555,0.20948794252719413
agua branca,5,401.69,259.40999999999997,5,0,-13.534435185185185,5,4.2,1.0,0.0,20.0,0.6457965097463217
agua clara,2,219.89000000000001,39.28,2,0,-8.205844907407407,2,3.5,0.0,0.0,0.0,0.17863477193142024
agua comprida,2,106.9,33.75,2,0,-16.60641203703704,2,4.5,0.0,0.0,0.0,0.31571562207670717
agua doce,1,289.98,46.07,1,0,-15.408402777777777,1,4.0,0.0,0.0,0.0,0.1588730257259121
agua doce do norte,4,365.48,98.04,4,0,-12.611860532407407,4,4.25,0.0,0.0,0.0,0.2682499726387217
agua fria de goias,1,152.0,15.81,1,0,-12.42607638888889,1,5.0,0.0,0.0,0.0,0.10401315789473685
agua limpa,1,388.0,28.8,1,0,-4.231388888888889,1,1.0,1.0,0.0,100.0,0.07422680412371134
agua nova,1,42.0,35.67,1,0,-15.329652777777778,1,5.0,0.0,0.0,0.0,0.8492857142857143
agua preta,1,129.99,17.35,1,0,-20.230833333333333,1,4.0,0.0,0.0,0.0,0.1334718055235018
agua santa,2,163.9,63.69,2,0,-13.293819444444445,2,5.0,0.0,0.0,0.0,0.3885906040268456
aguai,10,2111.48,398.47,9,1,-12.218123713991769,10,4.0,2.0,11.11111111111111,20.0,0.18871597173546517
aguas belas,6,769.87,271.53000000000003,6,0,-13.737295524691357,6,4.333333333333333,0.0,0.0,0.0,0.35269590969904013
aguas claras,1,95.8,21.16,1,1,2.5686805555555554,1,5.0,0.0,100.0,0.0,0.22087682672233822
aguas da prata,10,1028.28,229.29,10,0,-13.81006712962963,10,4.9,0.0,0.0,0.0,0.22298401213677208
aguas de lindoia,23,3092.59,665.77,22,1,-11.718409617003367,23,4.130434782608695,3.0,4.545454545454546,13.043478260869565,0.2152791026291878
aguas de santa barbara,3,154.9,47.13,3,0,-11.306612654320986,3,3.3333333333333335,1.0,0.0,33.33333333333333,0.3042608134280181
aguas de sao pedro,3,274.99,29.04,2,0,-11.38806712962963,3,5.0,0.0,0.0,0.0,0.10560384013964144
aguas formosas,5,1341.7,238.87,5,0,-15.14183101851852,5,4.2,1.0,0.0,20.0,0.17803532831482446
aguas frias,1,290.0,28.98,1,0,-12.230069444444444,1,4.0,0.0,0.0,0.0,0.09993103448275863
aguas lindas de goias,24,2219.91,568.89,24,2,-12.688441840277777,24,4.25,3.0,8.333333333333332,12.5,0.256267145965377
aguas mornas,1,89.15,15.37,1,0,-18.181400462962962,1,5.0,0.0,0.0,0.0,0.17240605720695454
aguas vermelhas,3,574.58,118.31,3,0,-16.596184413580247,3,3.3333333333333335,1.0,0.0,33.33333333333333,0.20590692331790175
agudo,1,17.0,15.1,1,0,-12.685138888888888,1,5.0,0.0,0.0,0.0,0.888235294117647
agudos,16,1265.3,243.65,16,1,-12.076100260416666,16,4.0625,2.0,6.25,12.5,0.19256302853078322
aguia branca,2,157.89000000000001,42.05,1,0,-4.246909722222222,2,3.0,1.0,0.0,50.0,0.26632465640635883
aimores,10,951.37,192.4,10,1,-14.376850694444446,10,4.1,1.0,10.0,10.0,0.20223467210443888
aiuaba,1,109.7,37.68,1,0,-17.20627314814815,1,3.0,0.0,0.0,0.0,0.34348222424794894
aiuruoca,4,281.09000000000003,83.94,4,0,-20.306877893518518,4,3.75,1.0,0.0,25.0,0.2986232167633142
ajapi,1,108.0,13.34,1,1,5.240277777777778,1,4.0,0.0,100.0,0.0,0.12351851851851851
ajuricaba,2,191.9,53.47,2,0,-17.094658564814814,2,3.5,0.0,0.0,0.0,0.2786347055758207
alagoa,1,77.68,16.3,1,0,-13.163819444444444,1,3.0,0.0,0.0,0.0,0.20983522142121525
alagoa grande,1,139.99,38.53,1,0,-20.342349537037038,1,5.0,0.0,0.0,0.0,0.27523394528180584
alagoa nova,1,113.0,51.29,1,0,-0.27292824074074074,1,5.0,0.0,0.0,0.0,0.4538938053097345
alagoinha,2,269.9,69.62,2,0,-13.857199074074074,2,4.0,0.0,0.0,0.0,0.25794738792145244
alagoinhas,40,6249.2300000000005,1179.1,40,8,-9.893613136574073,40,4.2,5.0,20.0,12.5,0.18867924528301883
alambari,3,179.88,49.06,3,0,-12.909502314814816,3,5.0,0.0,0.0,0.0,0.2727373804758728
alcantara,1,424.8,40.06,1,0,-6.5256944444444445,1,3.0,0.0,0.0,0.0,0.09430320150659134
alcinopolis,6,711.1600000000001,241.19,6,0,-18.44746334876543,6,4.5,1.0,0.0,16.666666666666664,0.33915012092918606
alcobaca,4,1289.78,192.12,4,1,-8.857783564814815,4,4.75,0.0,25.0,0.0,0.14895563584487279
alegre,17,2884.07,380.94,17,2,-10.479140114379085,17,4.352941176470588,2.0,11.76470588235294,11.76470588235294,0.1320841727142545
