state,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio,poor_review_signal,negative_review_signal,late_delivery_signal,freight_signal,hotspot_signals
CE,1336,227254.71,48351.59,1279,196,-10.1100067507891,1326,3.854449472096531,261.0,15.32447224394058,19.68325791855204,0.2127638630680085,True,True,True,True,4
PA,975,178947.81,38699.3,946,117,-13.38628847829066,962,3.8461538461538463,188.0,12.367864693446087,19.542619542619544,0.2162602604636514,True,True,True,True,4
MA,747,119648.22,31523.77,717,141,-8.88784447802056,742,3.758086253369272,162.0,19.6652719665272,21.83288409703504,0.263470446948563,True,True,True,True,4
RJ,12852,1824092.67,305589.31,12353,1664,-11.060398599567955,12687,3.877262814954941,2619.0,13.470412045656929,20.64317805627808,0.1675294874135972,True,True,True,False,3
BA,3380,511349.99,100156.68,3256,457,-10.099072598877283,3340,3.861077844311377,632.0,14.035626535626536,18.922155688622755,0.1958671789550636,True,True,True,False,3
PE,1652,262788.03,59449.66,1593,172,-12.60791818517356,1635,4.008562691131498,274.0,10.797237915881984,16.75840978593272,0.2262266664124693,False,True,True,True,3
PB,536,115268.08,25719.73,517,57,-12.599502337201804,530,4.016981132075472,88.0,11.02514506769826,16.60377358490566,0.2231296816950538,False,True,True,True,3
ES,2033,275037.31,49764.6,1995,244,-9.797108894922491,2006,4.038384845463609,299.0,12.230576441102755,14.905284147557326,0.1809376335159764,False,False,True,False,1
MS,715,116812.64,19144.03,701,81,-10.355557916600624,713,4.109396914446003,104.0,11.554921540656206,14.58625525946704,0.1638866307618764,False,False,True,False,1
SP,41746,5202955.05,718723.07,40495,2387,-10.381189543576482,41472,4.1741255144032925,5221.0,5.8945548833189285,12.589216820987652,0.1381374743954399,False,False,False,False,0
MG,11635,1585308.03,270853.46,11355,638,-12.536991497056285,11554,4.135753851480007,1532.0,5.618670189343901,13.259477237320407,0.1708522601755824,False,False,False,False,0
RS,5466,750304.02,135522.74,5344,382,-13.208488747331726,5443,4.133657909241228,724.0,7.148203592814372,13.301488149917326,0.1806237690156584,False,False,False,False,0
PR,5045,683083.76,117851.68,4923,246,-12.61967811472604,5019,4.181111775254035,623.0,4.996953077391835,12.412831241283124,0.1725288857694406,False,False,False,False,0
SC,3637,520553.34,89660.26,3547,346,-10.806691805281458,3609,4.073704627320588,529.0,9.754722300535663,14.657799944582989,0.1722402933770437,False,False,False,False,0
DF,2140,302603.94,50625.5,2080,147,-11.339524695067665,2128,4.066964285714286,316.0,7.0673076923076925,14.849624060150376,0.1672995401183474,False,False,False,False,0
GO,2020,294591.95,53114.98,1957,160,-11.483576536743692,2007,4.043348281016442,295.0,8.175779253960142,14.698555057299451,0.1803001745295484,False,False,False,False,0
MT,907,156453.53,29715.43,886,60,-13.685549742391942,900,4.101666666666667,124.0,6.772009029345373,13.77777777777778,0.1899313489443159,False,False,False,False,0
