state,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
AC,81,15982.95,3686.75,80,3,-20.077006944444445,81,4.049382716049383,13.0,3.75,16.049382716049383,0.23066768024676296
AL,413,80314.81,15914.59,397,95,-8.032058873262432,410,3.7609756097560973,97.0,23.929471032745592,23.65853658536585,0.19815261967251122
AM,148,22356.84,5478.89,145,6,-18.85181696998723,146,4.205479452054795,21.0,4.137931034482759,14.383561643835616,0.24506549226098143
AP,68,13474.3,2788.5,67,3,-19.05942267827529,67,4.1940298507462686,5.0,4.477611940298507,7.462686567164178,0.2069495261349384
BA,3380,511349.99,100156.68,3256,457,-10.099072598877285,3340,3.861077844311377,632.0,14.035626535626536,18.922155688622755,0.19586717895506361
CE,1336,227254.71,48351.59,1279,196,-10.1100067507891,1326,3.854449472096531,261.0,15.32447224394058,19.683257918552037,0.21276386306800857
DF,2140,302603.94,50625.5,2080,147,-11.339524695067663,2128,4.066964285714286,316.0,7.0673076923076925,14.849624060150376,0.16729954011834744
ES,2033,275037.31,49764.6,1995,244,-9.797108894922491,2006,4.038384845463609,299.0,12.230576441102757,14.905284147557326,0.18093763351597641
GO,2020,294591.95,53114.98,1957,160,-11.483576536743692,2007,4.043348281016442,295.0,8.175779253960142,14.698555057299451,0.1803001745295484
MA,747,119648.22,31523.77,717,141,-8.88784447802056,742,3.7580862533692723,162.0,19.665271966527197,21.83288409703504,0.26347044694856303
MG,11635,1585308.03,270853.46,11355,638,-12.536991497056283,11554,4.135753851480007,1532.0,5.618670189343901,13.259477237320407,0.17085226017558242
MS,715,116812.64,19144.03,701,81,-10.355557916600624,713,4.109396914446003,104.0,11.554921540656206,14.586255259467041,0.16388663076187646
MT,907,156453.53,29715.43,886,60,-13.685549742391942,900,4.101666666666667,124.0,6.772009029345373,13.777777777777779,0.18993134894431593
PA,975,178947.81,38699.3,946,117,-13.386288478290659,962,3.8461538461538463,188.0,12.367864693446089,19.542619542619544,0.2162602604636514
PB,536,115268.08,25719.73,517,57,-12.599502337201805,530,4.016981132075472,88.0,11.02514506769826,16.60377358490566,0.22312968169505382
PE,1652,262788.03,59449.659999999996,1593,172,-12.60791818517356,1635,4.008562691131498,274.0,10.797237915881984,16.75840978593272,0.22622666641246936
PI,495,86914.08,21218.2,476,76,-10.629538179855276,490,3.9183673469387754,90.0,15.966386554621847,18.367346938775512,0.2441284542159337
PR,5045,683083.76,117851.68,4923,246,-12.61967811472604,5019,4.181111775254035,623.0,4.996953077391835,12.412831241283124,0.17252888576944062
RJ,12852,1824092.67,305589.31,12353,1664,-11.060398599567957,12687,3.877262814954941,2619.0,13.470412045656927,20.64317805627808,0.16752948741359724
RN,485,83034.98,18860.1,474,51,-12.962349073097359,480,4.105208333333334,68.0,10.759493670886076,14.166666666666666,0.2271343956486772
RO,253,46140.64,11417.38,243,7,-19.396826417466848,252,4.051587301587301,39.0,2.880658436213992,15.476190476190476,0.24744736960735697
RR,46,7829.43,2235.19,41,5,-16.594597730352305,46,3.608695652173913,11.0,12.195121951219512,23.91304347826087,0.2854856611528553
RS,5466,750304.02,135522.74,5344,382,-13.208488747331726,5443,4.133657909241228,724.0,7.1482035928143715,13.301488149917326,0.18062376901565846
SC,3637,520553.34,89660.26,3547,346,-10.806691805281458,3609,4.073704627320588,529.0,9.754722300535663,14.657799944582987,0.17224029337704372
SE,350,58920.85,14111.47,335,51,-9.328641480099503,349,3.8080229226361033,76.0,15.223880597014924,21.776504297994272,0.2394987512909267
SP,41746,5202955.05,718723.07,40495,2387,-10.381189543576482,41472,4.1741255144032925,5221.0,5.8945548833189285,12.589216820987653,0.13813747439543994
TO,280,49621.74,11732.68,274,35,-11.439737724722898,279,4.096774193548387,38.0,12.773722627737227,13.620071684587815,0.23644233354170976
